site_name,company_name,link,latitude,longitude,address,homepage,phone,sales_phone,email,sales_email,opening_hours,site_type,id,image_path
Sables De Montmou,,https://www.google.com/maps/place/Sables+De+Montmou/data=!4m7!3m6!1s0x12b5a275edc1883f:0x1d8c0f8df702b825!8m2!3d44.2211256!4d4.7283342!16s%2Fg%2F11b6dp9qzx!19sChIJP4jB7XWitRIRJbgC940PjB0?authuser=0&amp;hl=en&amp;rclk=1,44.2211,4.7283,"Quartier St Loup, 890 Chem. de Derrière Montmou, 84550 Mornas, France",calcairesregionaux.com,#ERROR!,,,,"{'Monday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Tuesday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Wednesday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Thursday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Friday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,2e7a7379-c1a8-4a39-b6f8-dd6debb5205c,data/images/train/2e7a7379-c1a8-4a39-b6f8-dd6debb5205c_44.2211_4.7283.png
Calcaires Régionaux,,https://www.google.com/maps/place/Calcaires+R%C3%A9gionaux/data=!4m7!3m6!1s0x12b5f29fa9669b37:0x4f0b7cbd6d2c1274!8m2!3d43.9686445!4d4.8965469!16s%2Fg%2F1td3_nv7!19sChIJN5tmqZ_ytRIRdBIsbb18C08?authuser=0&amp;hl=en&amp;rclk=1,43.9686,4.8965,"281 Chem. du Bac de Bompas, 84270 Vedène, France",calcairesregionaux.com,#ERROR!,,,,"{'Monday': ['7:30a.m.–12p.m.', '1–5p.m.'], 'Tuesday': ['7:30a.m.–12p.m.', '1–5p.m.'], 'Wednesday': ['7:30a.m.–12p.m.', '1–5p.m.'], 'Thursday': ['7:30a.m.–12p.m.', '1–5p.m.'], 'Friday': ['7:30a.m.–12p.m.', '1–5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,05058205-2c40-451c-90d3-94ab50a33306,data/images/train/05058205-2c40-451c-90d3-94ab50a33306_43.9686_4.8965.png
Midi-Concassage - Carrière de Cazan,,https://www.google.com/maps/place/Midi-Concassage+-+Carri%C3%A8re+de+Cazan/data=!4m7!3m6!1s0x12ca02d296875ecf:0xdcb2f6decd8caf64!8m2!3d43.687421!4d5.204327!16s%2Fg%2F11b7jwdpyv!19sChIJz16HltICyhIRZK-Mzd72stw?authuser=0&amp;hl=en&amp;rclk=1,43.6874,5.2043,"lieu-dit, 13410 Lambesc, France",midi-concassage.fr,#ERROR!,,,,"{'Monday': ['7a.m.–12p.m.', '1–4p.m.'], 'Tuesday': ['7a.m.–12p.m.', '1–4p.m.'], 'Wednesday': ['7a.m.–12p.m.', '1–4p.m.'], 'Thursday': ['7a.m.–12p.m.', '1–4p.m.'], 'Friday': ['7a.m.–12p.m.', '1–3:30p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,9b0243b3-d788-4f80-bbca-d1c4651fce50,data/images/train/9b0243b3-d788-4f80-bbca-d1c4651fce50_43.6874_5.2043.png
Calcaires Régionaux,,https://www.google.com/maps/place/Calcaires+R%C3%A9gionaux/data=!4m7!3m6!1s0x12c992e83525ac0b:0x3927cddd02a0a47e!8m2!3d43.4746624!4d5.4066044!16s%2Fg%2F1tm1mncf!19sChIJC6wlNeiSyRIRfqSgAt3NJzk?authuser=0&amp;hl=en&amp;rclk=1,43.4747,5.4066,"Route de Gardanne, Chem. des 3 Pigeons, 13080, France",calcairesregionaux.com,#ERROR!,,,,"{'Monday': ['7:30a.m.–12p.m.', '1:30–5p.m.'], 'Tuesday': ['7:30a.m.–12p.m.', '1:30–5p.m.'], 'Wednesday': ['7:30a.m.–12p.m.', '1:30–5p.m.'], 'Thursday': ['7:30a.m.–12p.m.', '1:30–5p.m.'], 'Friday': ['7:30a.m.–12p.m.', '1:30–5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,ac254034-75fd-4860-b271-51e94514ce6a,data/images/train/ac254034-75fd-4860-b271-51e94514ce6a_43.4747_5.4066.png
CMSE - Perasso - Carrière et usine de préfabrication de Saint-Tronc,,https://www.google.com/maps/place/CMSE+-+Perasso+-+Carri%C3%A8re+et+usine+de+pr%C3%A9fabrication+de+Saint-Tronc/data=!4m7!3m6!1s0x12c9b8dbca2fa45f:0x450c333c52b49a36!8m2!3d43.2639385!4d5.433292!16s%2Fg%2F1tggdnhb!19sChIJX6Qvytu4yRIRNpq0UjwzDEU?authuser=0&amp;hl=en&amp;rclk=1,43.2639,5.4333,"81 Chem. du Vallon de Toulouse, 13010 Marseille, France",,#ERROR!,,,,"{'Monday': ['6:30a.m.–12p.m.', '1–4p.m.'], 'Tuesday': ['6:30a.m.–12p.m.', '1–4p.m.'], 'Wednesday': ['6:30a.m.–12p.m.', '1–4p.m.'], 'Thursday': ['6:30a.m.–12p.m.', '1–4p.m.'], 'Friday': ['6:30a.m.–12p.m.', '1–4p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,f867911e-517a-4d2a-98be-fd3ee60a12a8,data/images/train/f867911e-517a-4d2a-98be-fd3ee60a12a8_43.2639_5.4333.png
Bonnifay,,https://www.google.com/maps/place/Bonnifay/data=!4m7!3m6!1s0x12c9a5c0fb7e4be9:0xd5719cbcc47ed18c!8m2!3d43.2135189!4d5.627132!16s%2Fg%2F11hyl6c1h3!19sChIJ6Ut--8ClyRIRjNF-xLyccdU?authuser=0&amp;hl=en&amp;rclk=1,43.2135,5.6271,"1 Chem. de Saint-Antoine, 13600 La Ciotat, France",,#ERROR!,,,,,Quarry,5abfb6c4-4a1e-4e4f-b95a-93453c531b77,data/images/train/5abfb6c4-4a1e-4e4f-b95a-93453c531b77_43.2135_5.6271.png
CMSE - Carrière de Mallefougasse,,https://www.google.com/maps/place/CMSE+-+Carri%C3%A8re+de+Mallefougasse/data=!4m7!3m6!1s0x12cbbae8c2a490eb:0x769a75f073041267!8m2!3d44.072215!4d5.93063!16s%2Fg%2F1xtdzsbg!19sChIJ65Ckwui6yxIRZxIEc_B1mnY?authuser=0&amp;hl=en&amp;rclk=1,44.0722,5.9306,"Charmayon, 04230 Mallefougasse-Augès, France",,#ERROR!,,,,"{'Monday': ['7:30a.m.–12p.m.', '1:15–4:45p.m.'], 'Tuesday': ['7:30a.m.–12p.m.', '1:15–4:45p.m.'], 'Wednesday': ['7:30a.m.–12p.m.', '1:15–4:45p.m.'], 'Thursday': ['7:30a.m.–12p.m.', '1:15–4:45p.m.'], 'Friday': ['7:30a.m.–12p.m.', '1:15–4p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,7579170f-637c-48aa-ae7b-53af1d9da700,data/images/train/7579170f-637c-48aa-ae7b-53af1d9da700_44.0722_5.9306.png
Carrière de Braux,,https://www.google.com/maps/place/Carri%C3%A8re+de+Braux/data=!4m7!3m6!1s0x12cc6bbfc1774ef3:0xa32f8bebc31e4c63!8m2!3d43.9668854!4d6.6651765!16s%2Fg%2F11b6dghz9z!19sChIJ8053wb9rzBIRY0wew-uLL6M?authuser=0&amp;hl=en&amp;rclk=1,43.9669,6.6652,"Carrière de Braux, 04240 Annot, France",cmm-cozzi.fr,#ERROR!,,,,,Quarry,6041958b-8984-4dd7-9d55-d0ead88e7512,data/images/train/6041958b-8984-4dd7-9d55-d0ead88e7512_43.9669_6.6652.png
carrieres de provence,,https://www.google.com/maps/place/carrieres+de+provence/data=!4m7!3m6!1s0x12b5e12887d7f607:0xaf8a4d967d4ae64b!8m2!3d43.7291797!4d4.7451284!16s%2Fg%2F11hz_21ltz!19sChIJB_bXhyjhtRIRS-ZKfZZNiq8?authuser=0&amp;hl=en&amp;rclk=1,43.7292,4.7451,"Route de Maussane, 13990 Fontvieille, France",carrieresdeprovence.com,#ERROR!,,,,"{'Monday': ['8a.m.–12p.m.', '1:30–5p.m.'], 'Tuesday': ['8a.m.–12p.m.', '1:30–5p.m.'], 'Wednesday': ['8a.m.–12p.m.', '1:30–5p.m.'], 'Thursday': ['8a.m.–12p.m.', '1:30–5p.m.'], 'Friday': ['8a.m.–12:30p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,c622b872-e912-468f-8be4-8bf9b219a383,data/images/train/c622b872-e912-468f-8be4-8bf9b219a383_43.7292_4.7451.png
Mistral Industries,,https://www.google.com/maps/place/Mistral+Industries/data=!4m7!3m6!1s0x12b5d8bf8dc4f36d:0x170c5159271e53f1!8m2!3d43.7315253!4d4.6215807!16s%2Fg%2F1vx88925!19sChIJbfPEjb_YtRIR8VMeJ1lRDBc?authuser=0&amp;hl=en&amp;rclk=1,43.7315,4.6216,"Chem. des Segonnaux - VC13, 13200 Arles, France",,#ERROR!,,,,,Quarry,837b8bde-8816-400f-91e2-a895c2e63d48,data/images/train/837b8bde-8816-400f-91e2-a895c2e63d48_43.7315_4.6216.png
Carrière Pradier,,https://www.google.com/maps/place/Carri%C3%A8re+Pradier/data=!4m7!3m6!1s0x12b5a151724a59cb:0xc9b49dadefa362cd!8m2!3d44.235424!4d4.6908397!16s%2Fg%2F11lslwzwhp!19sChIJy1lKclGhtRIRzWKj762dtMk?authuser=0&amp;hl=en&amp;rclk=1,44.2354,4.6908,"Unnamed Road, 84430 Mondragon, France",,#ERROR!,,,,"{'Monday': ['7a.m.–6p.m.'], 'Tuesday': ['7a.m.–6p.m.'], 'Wednesday': ['7a.m.–6p.m.'], 'Thursday': ['7a.m.–6p.m.'], 'Friday': ['7a.m.–6p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,c6572b08-497a-4fca-b1f7-dfee74615611,data/images/train/c6572b08-497a-4fca-b1f7-dfee74615611_44.2354_4.6908.png
Agregats Services,,https://www.google.com/maps/place/Agregats+Services/data=!4m7!3m6!1s0x12b5a11de6d915c7:0x896a280dc94acccf!8m2!3d44.265178!4d4.671249!16s%2Fg%2F1tdrb7q3!19sChIJxxXZ5h2htRIRz8xKyQ0oaok?authuser=0&amp;hl=en&amp;rclk=1,44.2652,4.6712,"Quartier Les Combes, 84840 Lamotte-du-Rhône, France",,#ERROR!,,,,,Quarry,8d27c054-81c5-4d0a-9f43-7a5ff4a4eb08,data/images/train/8d27c054-81c5-4d0a-9f43-7a5ff4a4eb08_44.2652_4.6712.png
Carrière Pradier,,https://www.google.com/maps/place/Carri%C3%A8re+Pradier/data=!4m7!3m6!1s0x12b5a1bc51e046ad:0xde9a69062acd844d!8m2!3d44.2501847!4d4.7085277!16s%2Fg%2F11n6rd3v3w!19sChIJrUbgUbyhtRIRTYTNKgZpmt4?authuser=0&amp;hl=en&amp;rclk=1,44.2502,4.7085,"Site Industriel le Millénaire, Le Pass. d'Arles, 84430 Mondragon, France",,#ERROR!,,,,,Quarry,af3905aa-af19-476a-b3ad-9b0a4a8a7200,data/images/train/af3905aa-af19-476a-b3ad-9b0a4a8a7200_44.2502_4.7085.png
Calcaires Régionaux,,https://www.google.com/maps/place/Calcaires+R%C3%A9gionaux/data=!4m7!3m6!1s0x12b599bddf6d77b5:0x2b658737534cb3cf!8m2!3d44.2210924!4d4.7281742!16s%2Fg%2F11g0g_8b80!19sChIJtXdt372ZtRIRz7NMUzeHZSs?authuser=0&amp;hl=en&amp;rclk=1,44.2211,4.7282,"84550 Mornas, France",,,,,,"{'Monday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Tuesday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Wednesday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Thursday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Friday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,71325084-801f-4148-9451-507c2ec826e4,data/images/train/71325084-801f-4148-9451-507c2ec826e4_44.2211_4.7282.png
Carrière de Boncavaï,,https://www.google.com/maps/place/Carri%C3%A8re+de+Boncava%C3%AF/data=!4m7!3m6!1s0x12b59feb7c3d0e95:0x7f9b045ac999bce2!8m2!3d44.2285991!4d4.7605529!16s%2Fg%2F11kq2zywc5!19sChIJlQ49fOuftRIR4ryZyVoEm38?authuser=0&amp;hl=en&amp;rclk=1,44.2286,4.7606,"315 Chem. de la Gayanne, 84550 Mornas, France",delorme-entreprises.fr,#ERROR!,,,,,Quarry,3a9b12f9-7d53-4fcd-8d92-60d9059a7027,data/images/train/3a9b12f9-7d53-4fcd-8d92-60d9059a7027_44.2286_4.7606.png
Ricard M Et Ricard K,,https://www.google.com/maps/place/Ricard+M+Et+Ricard+K/data=!4m7!3m6!1s0x12b598c8f88005a5:0x6693264bd337b084!8m2!3d44.2170753!4d4.7508769!16s%2Fg%2F1tgttb2_!19sChIJpQWA-MiYtRIRhLA300smk2Y?authuser=0&amp;hl=en&amp;rclk=1,44.2171,4.7509,"Rte d'Uchaux, 84550 Mornas, France",,#ERROR!,,,,"{'Monday': ['7:30a.m.–12p.m.', '1:30–5p.m.'], 'Tuesday': ['7:30a.m.–12p.m.', '1:30–5p.m.'], 'Wednesday': ['7:30a.m.–12p.m.', '1:30–5p.m.'], 'Thursday': ['7:30a.m.–12p.m.', '1:30–5p.m.'], 'Friday': ['7:30a.m.–12p.m.', '1:30–4p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,e9f9349e-ccf5-4f70-a869-cd9a97e6b126,data/images/train/e9f9349e-ccf5-4f70-a869-cd9a97e6b126_44.2171_4.7509.png
Delorme lampourdier,,https://www.google.com/maps/place/Delorme+lampourdier/data=!4m7!3m6!1s0x12b597b60caa348f:0xd42b0d8fbe7df345!8m2!3d44.0876505!4d4.7868351!16s%2Fg%2F11grv2h4qn!19sChIJjzSqDLaXtRIRRfN9vo8NK9Q?authuser=0&amp;hl=en&amp;rclk=1,44.0877,4.7868,"Unnamed Road, 84100 Orange, France",,,,,,"{'Monday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Tuesday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Wednesday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Thursday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Friday': ['7:30a.m.–12p.m.', '1–3:30p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,57b91207-e56f-4b24-a57a-1d420e884039,data/images/train/57b91207-e56f-4b24-a57a-1d420e884039_44.0877_4.7868.png
Société des Carrières Vauclusiennes carrière de la combe d'arnavel,,https://www.google.com/maps/place/Soci%C3%A9t%C3%A9+des+Carri%C3%A8res+Vauclusiennes+carri%C3%A8re+de+la+combe+d%27arnavel/data=!4m7!3m6!1s0x12b596df8157f8a7:0x9868fd3c92d8046d!8m2!3d44.0671119!4d4.7943658!16s%2Fg%2F1tf20zhh!19sChIJp_hXgd-WtRIRbQTYkjz9aJg?authuser=0&amp;hl=en&amp;rclk=1,44.0671,4.7944,"2492 Route de Roquemaure, 84230 Châteauneuf-du-Pape, France",,,,,,"{'Monday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Tuesday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Wednesday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Thursday': ['7:30a.m.–12p.m.', '1–4:30p.m.'], 'Friday': ['7:30a.m.–12p.m.', '1–3p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,9b31c205-8712-460f-ae87-a7e103de323c,data/images/train/9b31c205-8712-460f-ae87-a7e103de323c_44.0671_4.7944.png
Haladjian Minerals Solutions,,https://www.google.com/maps/place/Haladjian+Minerals+Solutions/data=!4m7!3m6!1s0x12b5931fbf3cf6db:0x7d516e26feb0807!8m2!3d44.0251066!4d4.8723281!16s%2Fg%2F11mq2vy07n!19sChIJ2_Y8vx-TtRIRBwjrb-IW1Qc?authuser=0&amp;hl=en&amp;rclk=1,44.0251,4.8723,"1951 Av. d'Orange, 84700 Sorgues, France",haladjian-minerals.fr,#ERROR!,,,,"{'Monday': ['8a.m.–12p.m.', '2–6p.m.'], 'Tuesday': ['8a.m.–12p.m.', '2–6p.m.'], 'Wednesday': ['8a.m.–12p.m.', '2–6p.m.'], 'Thursday': ['8a.m.–12p.m.', '2–6p.m.'], 'Friday': ['8a.m.–12p.m.', '2–6p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,069556ba-a718-48b7-bc49-89c44be7adb1,data/images/train/069556ba-a718-48b7-bc49-89c44be7adb1_44.0251_4.8723.png
Société des Carrieres Vauclusiennes,,https://www.google.com/maps/place/Soci%C3%A9t%C3%A9+des+Carrieres+Vauclusiennes/data=!4m7!3m6!1s0x12b5f284a28eab93:0x353d7ed3427dca14!8m2!3d43.9564637!4d4.9267507!16s%2Fg%2F1tcyn346!19sChIJk6uOooTytRIRFMp9QtN-PTU?authuser=0&amp;hl=en&amp;rclk=1,43.9565,4.9268,"115 Rue de la Source, 84450 Saint-Saturnin-lès-Avignon, France",scv84.fr,#ERROR!,,,,"{'Monday': ['8a.m.–6p.m.'], 'Tuesday': ['8a.m.–6p.m.'], 'Wednesday': ['8a.m.–6p.m.'], 'Thursday': ['8a.m.–6p.m.'], 'Friday': ['8a.m.–6p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,bf7db65e-4288-4dbd-bddf-28eda309fb0f,data/images/train/bf7db65e-4288-4dbd-bddf-28eda309fb0f_43.9565_4.9268.png
Cairanne Concassage,,https://www.google.com/maps/place/Cairanne+Concassage/data=!4m7!3m6!1s0x12b59cbb20baf909:0x560de7defc2781b7!8m2!3d44.2229616!4d4.9169134!16s%2Fg%2F11btm0f4rr!19sChIJCfm6ILuctRIRt4En_N7nDVY?authuser=0&amp;hl=en&amp;rclk=1,44.223,4.9169,"785 Chem. du Thor, 84290 Cairanne, France",,#ERROR!,,,,,Quarry,d36b9fb9-fdb9-4ca9-86e3-c4ee2093e476,data/images/train/d36b9fb9-fdb9-4ca9-86e3-c4ee2093e476_44.223_4.9169.png
Sibelco,,https://www.google.com/maps/place/Sibelco/data=!4m7!3m6!1s0x12b58d1c5c44417d:0x9b613278d6e40409!8m2!3d44.0100593!4d4.9306411!16s%2Fg%2F1td8g58j!19sChIJfUFEXByNtRIRCQTk1ngyYZs?authuser=0&amp;hl=en&amp;rclk=1,44.0101,4.9306,"117 Chem. des Vertes Rives, 84320 Entraigues-sur-la-Sorgue, France",fr.sibelco.com,#ERROR!,,,,"{'Monday': ['8a.m.–5p.m.'], 'Tuesday': ['8a.m.–5p.m.'], 'Wednesday': ['8a.m.–5p.m.'], 'Thursday': ['8a.m.–5p.m.'], 'Friday': ['8a.m.–5p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,ac6e232a-1afa-4d5d-9a81-7c8a5552a0c2,data/images/train/ac6e232a-1afa-4d5d-9a81-7c8a5552a0c2_44.0101_4.9306.png
DELORME / LOKIS,,https://www.google.com/maps/place/DELORME+%2F+LOKIS/data=!4m7!3m6!1s0x12b5f9e2a33c57cf:0x341230e768dbc84a!8m2!3d43.7829246!4d5.0207532!16s%2Fg%2F11rvmdyrqz!19sChIJz1c8o-L5tRIRSsjbaOcwEjQ?authuser=0&amp;hl=en&amp;rclk=1,43.7829,5.0208,"Chemin du ball trapp, Rte d'Eygalières, 13660 Orgon, France",delorme-entreprises.fr,#ERROR!,,,,"{'Monday': ['7a.m.–4:30p.m.'], 'Tuesday': ['7a.m.–4:30p.m.'], 'Wednesday': ['7a.m.–4:30p.m.'], 'Thursday': ['7a.m.–4:30p.m.'], 'Friday': ['7a.m.–3:30p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,c65fc321-fc7d-44d6-b346-52e84c552ba5,data/images/train/c65fc321-fc7d-44d6-b346-52e84c552ba5_43.7829_5.0208.png
Gravisud Sas,,https://www.google.com/maps/place/Gravisud+Sas/data=!4m7!3m6!1s0x12b5f777319d0c2f:0x404608dddf0c7391!8m2!3d43.8665222!4d5.0294902!16s%2Fg%2F1tcx9cyv!19sChIJLwydMXf3tRIRkXMM390IRkA?authuser=0&amp;hl=en&amp;rclk=1,43.8665,5.0295,"4900 Chem. des Châteaux, 84300 Cavaillon, France",gravisud.fr,#ERROR!,,,,"{'Monday': ['7:30a.m.–12p.m.', '1–4:45p.m.'], 'Tuesday': ['7:30a.m.–12p.m.', '1–4:45p.m.'], 'Wednesday': ['7:30a.m.–12p.m.', '1–4:45p.m.'], 'Thursday': ['7:30a.m.–12p.m.', '1–4:45p.m.'], 'Friday': ['7:30a.m.–12p.m.', '1–3:45p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,6634a10b-2222-43d8-bcc9-96a3b6eea9b8,data/images/train/6634a10b-2222-43d8-bcc9-96a3b6eea9b8_43.8665_5.0295.png
Lhoist | Ensuès,,https://www.google.com/maps/place/Lhoist+%7C+Ensu%C3%A8s/data=!4m7!3m6!1s0x12c9dd81d4cb41ab:0x116a4553ee171fb7!8m2!3d43.3645401!4d5.1852904!16s%2Fg%2F11c2mcxrl6!19sChIJq0HL1IHdyRIRtx8X7lNFahE?authuser=0&amp;hl=en&amp;rclk=1,43.3645,5.1853,"D9, 13820 Ensuès-la-Redonne, France",lhoist.com,,,,,"{'Monday': ['8a.m.–6p.m.'], 'Tuesday': ['8a.m.–6p.m.'], 'Wednesday': ['8a.m.–6p.m.'], 'Thursday': ['8a.m.–6p.m.'], 'Friday': ['8a.m.–6p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,4e81234a-4e72-49ee-bc2b-c4822226f097,data/images/train/4e81234a-4e72-49ee-bc2b-c4822226f097_43.3645_5.1853.png
Lafarge Granulats Sud,,https://www.google.com/maps/place/Lafarge+Granulats+Sud/data=!4m7!3m6!1s0x12ca00b900979c4b:0xc792387f0fb75567!8m2!3d43.7471837!4d5.0504246!16s%2Fg%2F11b6d07vyz!19sChIJS5yXALkAyhIRZ1W3D384ksc?authuser=0&amp;hl=en&amp;rclk=1,43.7472,5.0504,"Quartier du Grand Vallon, 13560 Sénas, France",lafarge.fr,#ERROR!,,,,"{'Monday': ['7:30–11:50a.m.', '1–4:15p.m.'], 'Tuesday': ['7:30–11:50a.m.', '1–4:15p.m.'], 'Wednesday': ['7:30–11:50a.m.', '1–4:15p.m.'], 'Thursday': ['7:30–11:50a.m.', '1–4:15p.m.'], 'Friday': ['7:30–11:50a.m.', '1–4:15p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,0785f13a-1cad-439d-897e-9c14eb328248,data/images/train/0785f13a-1cad-439d-897e-9c14eb328248_43.7472_5.0504.png
Carrière de Cabedan,,https://www.google.com/maps/place/Carri%C3%A8re+de+Cabedan/data=!4m7!3m6!1s0x12ca07bd6f8e2655:0x709d796a0780fd5b!8m2!3d43.8040271!4d5.0813827!16s%2Fg%2F11bzyp6b99!19sChIJVSaOb70HyhIRW_2AB2p5nXA?authuser=0&amp;hl=en&amp;rclk=1,43.804,5.0814,"521 Chem. des Bartheyes, 84460 Cheval-Blanc, France",,,,,,,Quarry,c253c497-91d0-4c91-82fb-dd6d5fd867fa,data/images/train/c253c497-91d0-4c91-82fb-dd6d5fd867fa_43.804_5.0814.png
Valancourt,,https://www.google.com/maps/place/Valancourt/data=!4m7!3m6!1s0x12ca078c4b3fa4bb:0x98f4fb52e50b6f1d!8m2!3d43.803818!4d5.082615!16s%2Fg%2F11hf97jjx_!19sChIJu6Q_S4wHyhIRHW8L5VL79Jg?authuser=0&amp;hl=en&amp;rclk=1,43.8038,5.0826,"521 Chem. des Bartheyes, 84460 Cheval-Blanc, France",,,,,,,Quarry,4d08489d-274d-4f84-bcff-21e87a4d1eff,data/images/train/4d08489d-274d-4f84-bcff-21e87a4d1eff_43.8038_5.0826.png
Carrières de St Gens,,https://www.google.com/maps/place/Carri%C3%A8res+de+St+Gens/data=!4m7!3m6!1s0x12ca0b5ea2812055:0x6cf6ca00059fb1ef!8m2!3d43.9586982!4d5.1365895!16s%2Fg%2F1trl7y_2!19sChIJVSCBol4LyhIR77GfBQDK9mw?authuser=0&amp;hl=en&amp;rclk=1,43.9587,5.1366,"84210 Le Beaucet, France",carriere-stgens.com,#ERROR!,,,,"{'Monday': ['8a.m.–12p.m.', '2–6p.m.'], 'Tuesday': ['8a.m.–12p.m.', '2–6p.m.'], 'Wednesday': ['8a.m.–12p.m.', '2–6p.m.'], 'Thursday': ['8a.m.–12p.m.', '2–6p.m.'], 'Friday': ['8a.m.–12p.m.', '2–6p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,70f56cc3-302f-4425-b3d9-4a60a2da99e5,data/images/train/70f56cc3-302f-4425-b3d9-4a60a2da99e5_43.9587_5.1366.png
Carrières Gontéro,,https://www.google.com/maps/place/Carri%C3%A8res+Gont%C3%A9ro/data=!4m7!3m6!1s0x12c9e7465febb451:0x1b59fe7eb5310050!8m2!3d43.3834529!4d5.1557579!16s%2Fg%2F1tyh4kq8!19sChIJUbTrX0bnyRIRUAAxtX7-WRs?authuser=0&amp;hl=en&amp;rclk=1,43.3835,5.1558,"Chem. de la Carrière, 13220 Mede (La, France",,#ERROR!,,,,"{'Monday': ['6:30a.m.–12p.m.', '1:30–4:30p.m.'], 'Tuesday': ['6:30a.m.–12p.m.', '1:30–4:30p.m.'], 'Wednesday': ['6:30a.m.–12p.m.', '1:30–4:30p.m.'], 'Thursday': ['6:30a.m.–12p.m.', '1:30–4:30p.m.'], 'Friday': ['6:30a.m.–12p.m.', '1:30–3:30p.m.'], 'Saturday': ['Closed'], 'Sunday': ['Closed']}",Quarry,d34afd03-6933-440d-a2d5-c841f52cf511,data/images/train/d34afd03-6933-440d-a2d5-c841f52cf511_43.3835_5.1558.png
Sarl Marbrerie Mathurin,,https://www.google.com/maps/place/Sarl+Marbrerie+Mathurin/data=!4m7!3m6!1s0x12c9fe534c3afe47:0x9d47b34e78c9e50d!8m2!3d43.6389622!4d5.0954393!16s%2Fg%2F1tmwkf6y!19sChIJR_46TFP-yRIRDeXJeE6zR50?authuser=0&amp;hl=en&amp;rclk=1,43.639,5.0954,"77 Bd Victor Joly, 13300 Salon-de-Provence, France",,#ERROR!,,,,,Quarry,aa25ad74-5837-4e62-a172-43279a988785,data/images/train/aa25ad74-5837-4e62-a172-43279a988785_43.639_5.0954.png
Lhoist | Robion,,https://www.google.com/maps/place/Lhoist+%7C+Robion/data=!4m7!3m6!1s0x12ca0929ac438c6f:0x16f7226a107cc131!8m2!3d43.8716577!4d5.1153716!16s%2Fg%2F11b6czcl4p!19sChIJb4xDrCkJyhIRMcF8EGoi9xY?authuser=0&amp;hl=en&amp;rclk=1,43.8717,5.1154,"1990 Bis, Route d'Avignon, 84440 Robion, France",,#ERROR!,,,,,Quarry,4c1e6dc9-c8fe-493e-b16a-3e2d38ec37f2,data/images/train/4c1e6dc9-c8fe-493e-b16a-3e2d38ec37f2_43.8717_5.1154.png
Sylvestre et Cie,,https://www.google.com/maps/place/Sylvestre+et+Cie/data=!4m7!3m6!1s0x12ca0a6dc7fcb281:0xae40f5904690c0d!8m2!3d43.930228!4d5.0722138!16s%2Fg%2F11b6dpgdq2!19sChIJgbL8x20KyhIRDQxpBFkP5Ao?authuser=0&amp;hl=en&amp;rclk=1,43.9302,5.0722,"Chem. de Rigaulte, 84800 L'Isle-sur-la-Sorgue, France",,,,,,,Quarry,31cb3179-16b6-4c14-a2bd-700b993cdd59,data/images/train/31cb3179-16b6-4c14-a2bd-700b993cdd59_43.9302_5.0722.png
